"PrimaryKey","EcolSite","US_L3CODE","US_L3NAME","Elevation","PRISM","ElevationM"
"NML00000_2019_Mal_3942019-09-01","R042XB037NM","24","Chihuahuan Deserts",1307,252.5,1309
"NM_LasCrucesMimbres2019_MIMB_073_V12020-09-01","R042XB018NM","24","Chihuahuan Deserts",1401,303.679992675781,1448
"NM_LasCrucesMimbres2019_MIMB_091_V12020-09-01","R042XB027NM","24","Chihuahuan Deserts",1488,317.970001220703,1443
"NM_LasCrucesTriCounty_2017_BOO_062_V12020-09-01","R042XB016NM","24","Chihuahuan Deserts",1509,309.75,1506
"18010509144649772017-09-01","R042XB014NM","24","Chihuahuan Deserts",1337.1576,259.880004882812,1340
"NMP02000_Year1_ChiActive_0132019-09-01","R042XC002NM","24","Chihuahuan Deserts",945,311.320007324219,940
"16083116280973132016-09-01","R042XB010NM","24","Chihuahuan Deserts",1454.77783203,287.290008544922,1460
"NM_Carlsbad_LUP_2019_Gypsum_469_V12020-09-01","R042XC006NM","24","Chihuahuan Deserts",1156,356.230010986328,1172
"18110212070837412018-09-01","R070DY151NM","24","Chihuahuan Deserts",1971.7512,389.510009765625,1405
"16081709161231012016-09-01","R042XB012NM","24","Chihuahuan Deserts",1292,247.080001831055,1281
"1801050806219792017-09-01","R042XB010NM","24","Chihuahuan Deserts",1420.368,274.489990234375,1441
"NM_Carlsbad_LUP_2019_ChiActive_030_V12020-09-01","R042XC007NM","24","Chihuahuan Deserts",1138,349.989990234375,1120
"NML00000_2019_Mal_3972019-09-01","R042XB037NM","24","Chihuahuan Deserts",1378,268.350006103516,1373
"18090610135134672018-09-01","R042XB021NM","24","Chihuahuan Deserts",1328.0136,274.859985351562,1349
"16112309202346402016-09-01","R042XB015NM","24","Chihuahuan Deserts",1274.99304199,262.200012207031,1267
"NML00000_2020_Bottom_0132019-09-01","R042XB018NM","24","Chihuahuan Deserts",1332,264.829986572266,1336
"17102310451212652017-09-01","R042XB015NM","24","Chihuahuan Deserts",1282.5984,245.169998168945,1279
"NM_LasCrucesTriCounty_2017_GRO_137_V12020-09-01","R042XC001NM","24","Chihuahuan Deserts",1577,313.390014648438,1591
"16111616413783122016-09-01","R042XB021NM","24","Chihuahuan Deserts",0,256.709991455078,1291
"NMP02000_Year1_Gypsum_4652019-09-01",NA,"24","Chihuahuan Deserts",3878,356.799987792969,1185
"NMP02000_Year1_HabActive_5052019-09-01","R042XC003NM","24","Chihuahuan Deserts",903,303.760009765625,911
"1611141556434902016-09-01","R042XB012NM","24","Chihuahuan Deserts",1334.47766113,261.489990234375,1336
"18090610424684712018-09-01","R042XB021NM","24","Chihuahuan Deserts",1292.0472,256.709991455078,1291
"NML00000_Panel19_MIMB_2832019-09-01","R042XB023NM","24","Chihuahuan Deserts",1394,294.75,1409
"NML00000_2020_Mal_4032019-09-01","R042XB037NM","24","Chihuahuan Deserts",1290,248.990005493164,1287
"NML00000_2019_Gravel_0682019-09-01","R042XB024NM","24","Chihuahuan Deserts",1269,254.080001831055,1280
"18100614204493882018-09-01","R042XB012NM","24","Chihuahuan Deserts",1346.6064,267.670013427734,1330
"1000000772018-09-01","R042XB015NM","24","Chihuahuan Deserts",1287.78,246.070007324219,1288
"16120116430894482016-09-01","R042XB015NM","24","Chihuahuan Deserts",1271.68835449,263.179992675781,1267
"NM_Carlsbad_LUP_2019_ChiStatic_219_V12020-09-01","R042XC025NM","24","Chihuahuan Deserts",1465,416.290008544922,1447
"NMP02000_2019_Reclaim_1052019-09-01",NA,"24","Chihuahuan Deserts",971,324.190002441406,985
"NML00000_2019_Bottom_0102019-09-01","R042XB018NM","24","Chihuahuan Deserts",1313,255.490005493164,1315
"16081712471161842016-09-01","R042XB012NM","24","Chihuahuan Deserts",1294,246.369995117188,1290
"NML00000_2019_Sandy_5082019-09-01","R042XB012NM","24","Chihuahuan Deserts",1298,251.320007324219,1298
"17112007395653062017-09-01","R042XB037NM","24","Chihuahuan Deserts",1298.7528,249.529998779297,1294
"NM_LasCrucesMimbres2019_MIMB_037_V12020-09-01","R042XB035NM","24","Chihuahuan Deserts",1237,265.359985351562,1256
"16112311152389002016-09-01","R042XB012NM","24","Chihuahuan Deserts",1258.38452148,264.029998779297,1254
"NM_LasCrucesTriCounty_2017_SA_418_V12020-09-01","R042XB012NM","24","Chihuahuan Deserts",1252,243.279998779297,1277
"NM_LasCrucesTriCounty_2017_MHI_381_V12020-09-01","R042XB021NM","24","Chihuahuan Deserts",1435,308.010009765625,1433
"NM_LasCrucesMimbres2019_MIMB_101_V12020-09-01","R042XB010NM","24","Chihuahuan Deserts",1267,268.040008544922,1294
"NML00000_2019_Hills_2172019-09-01","R042XB027NM","24","Chihuahuan Deserts",1295,250.75,1298
"NM_LasCrucesTriCounty_2017_BOO_063_V12020-09-01","R042XC002NM","24","Chihuahuan Deserts",1584,305.489990234375,1620
"18100608402827012018-09-01","R042XB011NM","24","Chihuahuan Deserts",1269.492,264.209991455078,1254
"NM_Carlsbad_LUP_2019_ChiActive_029_V12020-09-01","R042XC025NM","24","Chihuahuan Deserts",950,309.940002441406,943
"NML00000_Panel20_MIMB_2942019-09-01","R042XB010NM","24","Chihuahuan Deserts",1429,308.679992675781,1418
"NM_LasCrucesMimbres2019_MIMB_043_V12020-09-01","R042XB010NM","24","Chihuahuan Deserts",1409,310.200012207031,1426
"NML00000_Panel5_MIMB_0702019-09-01","R042XB010NM","24","Chihuahuan Deserts",1328,284.970001220703,1361
"16101715173474852016-09-01","R042XB015NM","24","Chihuahuan Deserts",1277.39306641,263.980010986328,1273
"NMP02000_Year1_ChiActive_0022019-09-01","R042XC007NM","24","Chihuahuan Deserts",0,309.549987792969,896
"18010407164069142017-09-01","R042XB014NM","24","Chihuahuan Deserts",1285.0368,243.619995117188,1285
"NMP02000_2019_Reclaim_1012019-09-01",NA,"24","Chihuahuan Deserts",3312,330.279998779297,987
"NM_LasCrucesTriCounty_2017_SA_422_V12020-09-01","R042XB012NM","24","Chihuahuan Deserts",1195,230.179992675781,1221
"NM_Carlsbad_LUP_2019_HabActive_537_V12020-09-01","R042XC003NM","24","Chihuahuan Deserts",977,319.359985351562,966
"NML00000_Panel5_MIMB_0712019-09-01","R042XB018NM","24","Chihuahuan Deserts",1378,297.880004882812,1427
"NM_Carlsbad_LUP_2019_ChiActive_018_V12020-09-01","R042XC007NM","24","Chihuahuan Deserts",1053,338.730010986328,1049
"NM_LasCrucesTriCounty_2017_LOO_312_V12020-09-01","R042XB010NM","24","Chihuahuan Deserts",1581,353.130004882812,1592
"16080508464174862016-09-01","R042XB015NM","24","Chihuahuan Deserts",1285,251.339996337891,1264
"18080313544580762018-09-01","R042XB012NM","24","Chihuahuan Deserts",1206.0936,231.119995117188,1204
"NML00000_2019_Sandy_5032019-09-01","R042XB012NM","24","Chihuahuan Deserts",1219,229.919998168945,1237
"NM_Carlsbad_LUP_2019_HabActive_525_V12020-09-01","R042XC003NM","24","Chihuahuan Deserts",982,324.510009765625,987
"18100511451925802018-09-01","R042XB012NM","24","Chihuahuan Deserts",1278.0264,264.709991455078,1271
"NM_Carlsbad_LUP_2019_Gypsum_470_V12020-09-01","R042XC007NM","24","Chihuahuan Deserts",1137,352.429992675781,1163
"NM_LasCrucesTriCounty_2017_MHI_369_V12020-09-01","R042XB021NM","24","Chihuahuan Deserts",1403,314.5,1461
"NM_LasCrucesTriCounty_2017_GRO_141_V12020-09-01","R042XB014NM","24","Chihuahuan Deserts",1559,321.980010986328,1547
"NMP02000_Year1_HabActive_5172019-09-01","R042XC003NM","24","Chihuahuan Deserts",877,306.829986572266,887
"NML00000_2019_Hills_2162019-09-01","R042XB037NM","24","Chihuahuan Deserts",1422,278.269989013672,1433
"17091809452819232017-09-01","R042XC001NM","24","Chihuahuan Deserts",1206.0936,256,1204
"1709220827555802017-09-01","R042XD001NM","24","Chihuahuan Deserts",1616.6592,317.549987792969,1614
"17110814514395292017-09-01","R042XB010NM","24","Chihuahuan Deserts",1275.2832,246.119995117188,1264
"NM_LasCrucesMimbres2019_MIMB_051_V12020-09-01","R042XB014NM","24","Chihuahuan Deserts",1341,296.899993896484,1353
"NMP02000_Year1_ChiStatic_2152019-09-01",NA,"24","Chihuahuan Deserts",4541,399.420013427734,1376
"18113013263220532018-09-01","R042XB014NM","24","Chihuahuan Deserts",1303.02,254.639999389648,1309
"NML00000_2019_Hills_2132019-09-01",NA,"24","Chihuahuan Deserts",0,250.960006713867,1300
"NML00000_Panel3_MIMB_0342019-09-01","R042XB023NM","24","Chihuahuan Deserts",1288,278.890014648438,1327
"NML00000_Panel20_MIMB_2892019-09-01","R042XB027NM","24","Chihuahuan Deserts",1966,346.459991455078,1689
"NML00000_2019_Shallow_5682019-09-01",NA,"24","Chihuahuan Deserts",1359,271.179992675781,1332
"18090608573441562018-09-01","R042XB014NM","24","Chihuahuan Deserts",1287.1704,256.779998779297,1316
"NM_LasCrucesTriCounty_2017_GRO_140_V12020-09-01","R042XC001NM","24","Chihuahuan Deserts",1573,336.910003662109,1600
"NM_LasCrucesTriCounty_2017_GRO_143_V12020-09-01","R042XB010NM","24","Chihuahuan Deserts",1554,320.540008544922,1547
"NML00000_2020_Sandy_5092019-09-01","R042XB011NM","24","Chihuahuan Deserts",1262,266.459991455078,1267
"NM_LasCrucesTriCounty_2017_GRS_172_V12020-09-01","R042XB011NM","24","Chihuahuan Deserts",1236,235.720001220703,1222
"NML00000_Panel1_MIMB_0072019-09-01","R042XB010NM","24","Chihuahuan Deserts",1407,306.279998779297,1431
"17091807354794372017-09-01","R042XC001NM","24","Chihuahuan Deserts",1153.9728,261.450012207031,1176
"16080308105523902016-09-01","R042XB012NM","24","Chihuahuan Deserts",1278,246.139999389648,1253
"1801041148192262017-09-01","R042XB010NM","24","Chihuahuan Deserts",1437.7416,279.950012207031,1413
"NMP02000_Year1_HabActive_5142019-09-01","R042XC003NM","24","Chihuahuan Deserts",2986,328.269989013672,914
"NML00000_2020_Lime_3032019-09-01","R042XB010NM","24","Chihuahuan Deserts",1295,254.699996948242,1306
"NM_Carlsbad_LUP_2019_ChiActive_026_V12020-09-01","R042XC007NM","24","Chihuahuan Deserts",1048,337.850006103516,1043
"NMP02000_Year1_ChiActive_0092019-09-01","R042XC002NM","24","Chihuahuan Deserts",1006,322.799987792969,1006
"17092211134033552017-09-01","R042XD007NM","24","Chihuahuan Deserts",1602.6384,325.380004882812,1603
"NM_LasCrucesTriCounty_2017_SA_413_V12020-09-01","R042XB012NM","24","Chihuahuan Deserts",1265,237.089996337891,1280
"NMP02000_Year1_ChiActive_0142019-09-01","R042XC007NM","24","Chihuahuan Deserts",1103,345.209991455078,1119
"NM_LasCrucesMimbres2019_MIMB_098_V12020-09-01","R042XC036NM","24","Chihuahuan Deserts",1272,276.269989013672,1309
"NML00000_2019_Loam_3442019-09-01","R042XB014NM","24","Chihuahuan Deserts",1341,264.619995117188,1346
"NMP02000_Year1_ChiActive_0102019-09-01","R042XC007NM","24","Chihuahuan Deserts",1063,339.859985351562,1050
"17103012585095442017-09-01","R042XC020NM","24","Chihuahuan Deserts",1597.4568,337.100006103516,1562
"18010511345121322017-09-01","R042XB015NM","24","Chihuahuan Deserts",1272.8448,266.929992675781,1267
"NM_LasCrucesTriCounty_2017_LOO_316_V12020-09-01","R042XB014NM","24","Chihuahuan Deserts",1499,337.519989013672,1533
"17091114580161472017-09-01","R042XB012NM","24","Chihuahuan Deserts",1286.256,240.559997558594,1281
"NML00000_Panel1_MIMB_0062019-09-01","R042XB023NM","24","Chihuahuan Deserts",1316,280,1340
"1609071345385512016-09-01","R042XB012NM","24","Chihuahuan Deserts",1329.22119141,268.049987792969,1314
"NM_Carlsbad_LUP_2019_ChiActive_022_V12020-09-01","R042XC025NM","24","Chihuahuan Deserts",887,313.75,893
"NM_LasCrucesTriCounty_2017_GRO_139_V12020-09-01","R042XB010NM","24","Chihuahuan Deserts",1532,319.170013427734,1525
"NM_LasCrucesTriCounty_2017_MHI_379_V12020-09-01","R042XB014NM","24","Chihuahuan Deserts",1344,297.929992675781,1374
"NML00000_2020_Shallow_5752019-09-01","R042XB015NM","24","Chihuahuan Deserts",1270,268.380004882812,1262
"NM_LasCrucesTriCounty_2017_MHI_367_V12020-09-01","R042XB021NM","24","Chihuahuan Deserts",1528,337.899993896484,1533
"18111510233589882018-09-01","R042XB037NM","24","Chihuahuan Deserts",1292.352,266.179992675781,1278
"17092207172657402017-09-01","R042XD001NM","24","Chihuahuan Deserts",1562.7096,337.440002441406,1553
"16101315290628462016-09-01","R042XB011NM","24","Chihuahuan Deserts",1240.38415527,243.190002441406,1238
